x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
42,2,0.20000000000000018,0.2999999999999998,0.25,-3.8,-3.7,-3.75,0,0,0,,1
43,2,0.2999999999999998,0.40000000000000036,0.3500000000000001,-3.8,-3.7,-3.75,0,0,0,,1
44,2,0.40000000000000036,0.5,0.4500000000000002,-3.8,-3.7,-3.75,0,0,0,,1
45,2,0.5,0.6000000000000005,0.5500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
46,2,0.6000000000000005,0.7000000000000002,0.6500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
47,2,0.7000000000000002,0.8000000000000007,0.7500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
48,2,0.8000000000000007,0.9000000000000004,0.8500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
49,2,0.9000000000000004,1.0,0.9500000000000002,-3.8,-3.7,-3.75,0,0,0,,1
50,2,1.0,1.1000000000000005,1.0500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
51,2,1.1000000000000005,1.2000000000000002,1.1500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
52,2,1.2000000000000002,1.3000000000000007,1.2500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
53,2,1.3000000000000007,1.4000000000000004,1.3500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
54,2,1.4000000000000004,1.5,1.4500000000000002,-3.8,-3.7,-3.75,0,0,0,,1
55,2,1.5,1.6000000000000005,1.5500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
56,2,1.6000000000000005,1.7000000000000002,1.6500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
57,2,1.7000000000000002,1.8000000000000007,1.7500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
58,2,1.8000000000000007,1.9000000000000004,1.8500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
59,2,1.9000000000000004,2.0,1.9500000000000002,-3.8,-3.7,-3.75,0,0,0,,1
60,2,2.0,2.1000000000000005,2.0500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
61,2,2.1000000000000005,2.2,2.1500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
62,2,2.2,2.3000000000000007,2.2500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
63,2,2.3000000000000007,2.4000000000000004,2.3500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
64,2,2.4000000000000004,2.5,2.45,-3.8,-3.7,-3.75,0,0,0,,1
65,2,2.5,2.6000000000000005,2.5500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
66,2,2.6000000000000005,2.7,2.6500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
67,2,2.7,2.8000000000000007,2.7500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
68,2,2.8000000000000007,2.9000000000000004,2.8500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
69,2,2.9000000000000004,3.0,2.95,-3.8,-3.7,-3.75,0,0,0,,1
70,2,3.0,3.1000000000000005,3.0500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
71,2,3.1000000000000005,3.2,3.1500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
72,2,3.2,3.3000000000000007,3.2500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
73,2,3.3000000000000007,3.4000000000000004,3.3500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
74,2,3.4000000000000004,3.5,3.45,-3.8,-3.7,-3.75,0,0,0,,1
75,2,3.5,3.6000000000000005,3.5500000000000003,-3.8,-3.7,-3.75,0,0,0,,1
76,2,3.6000000000000005,3.7,3.6500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
77,2,3.7,3.8000000000000007,3.7500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
78,2,3.8000000000000007,3.9000000000000004,3.8500000000000005,-3.8,-3.7,-3.75,0,0,0,,1
79,2,3.9000000000000004,4.0,3.95,-3.8,-3.7,-3.75,0,0,0,,1
0,3,-4.0,-3.9,-3.95,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
1,3,-3.9,-3.8,-3.8499999999999996,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
2,3,-3.8,-3.7,-3.75,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
3,3,-3.7,-3.6,-3.6500000000000004,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
4,3,-3.6,-3.5,-3.55,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
5,3,-3.5,-3.4,-3.45,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
6,3,-3.4,-3.3,-3.3499999999999996,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
7,3,-3.3,-3.2,-3.25,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
8,3,-3.2,-3.1,-3.1500000000000004,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
9,3,-3.1,-3.0,-3.05,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
10,3,-3.0,-2.9,-2.95,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
11,3,-2.9,-2.8,-2.8499999999999996,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
12,3,-2.8,-2.7,-2.75,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
13,3,-2.7,-2.5999999999999996,-2.65,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
14,3,-2.5999999999999996,-2.5,-2.55,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
15,3,-2.5,-2.4,-2.45,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
16,3,-2.4,-2.3,-2.3499999999999996,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
17,3,-2.3,-2.2,-2.25,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
18,3,-2.2,-2.0999999999999996,-2.15,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
19,3,-2.0999999999999996,-2.0,-2.05,-3.7,-3.6,-3.6500000000000004,0,0,0,,1
